produto;grupo;tipo_cultura;ano;area_ha;valor_mil_reais;n_municipios;pct_area_estado;pct_valor_estado;valor_por_ha_reais
Goiaba;Frutas;permanente;2021;344,0;9856,0;9;0,02;0,05;28651,0
Goiaba;Frutas;permanente;2022;342,0;11926,0;10;0,01;0,05;34871,0
Goiaba;Frutas;permanente;2023;302,0;12127,0;11;0,01;0,04;40156,0
Goiaba;Frutas;permanente;2024;305,0;10247,0;12;0,01;0,03;33597,0
Goiaba;Frutas;permanente;2025;306,0;13052,0;11;0,01;0,03;42654,0
Graviola;Frutas;permanente;2025;81,0;3036,0;5;0,0;0,01;37481,0
Guaraná (semente);Perenes comerciais;permanente;2016;24,0;225,0;6;0,0;0,0;9375,0
Guaraná (semente);Perenes comerciais;permanente;2017;29,0;295,0;6;0,0;0,0;10172,0
Guaraná (semente);Perenes comerciais;permanente;2018;64,0;472,0;7;0,0;0,0;7375,0
Guaraná (semente);Perenes comerciais;permanente;2019;67,0;491,0;7;0,0;0,0;7328,0
Guaraná (semente);Perenes comerciais;permanente;2020;67,0;272,0;7;0,0;0,0;4060,0
Guaraná (semente);Perenes comerciais;permanente;2021;57,0;220,0;7;0,0;0,0;3860,0
Guaraná (semente);Perenes comerciais;permanente;2022;65,0;308,0;7;0,0;0,0;4738,0
Guaraná (semente);Perenes comerciais;permanente;2023;65,0;913,0;7;0,0;0,0;14046,0
Guaraná (semente);Perenes comerciais;permanente;2024;93,0;1306,0;5;0,0;0,0;14043,0
Guaraná (semente);Perenes comerciais;permanente;2025;58,0;1748,0;4;0,0;0,0;30138,0
Juta (fibra);Fibras e fumo;temporária;2019;4,0;9,0;1;0,0;0,0;2250,0
Juta (fibra);Fibras e fumo;temporária;2020;5,0;9,0;1;0,0;0,0;1800,0
Laranja;Frutas;permanente;2016;13482,0;147430,0;80;0,86;1,49;10935,0
Laranja;Frutas;permanente;2017;17317,0;181364,0;77;1,0;1,69;10473,0
Laranja;Frutas;permanente;2018;13633,0;116410,0;73;0,8;1,16;8539,0
Laranja;Frutas;permanente;2019;14270,0;156511,0;72;0,78;1,48;10968,0
Laranja;Frutas;permanente;2020;16582,0;211819,0;72;0,82;1,39;12774,0
Laranja;Frutas;permanente;2021;14252,0;115620,0;72;0,66;0,56;8113,0
Laranja;Frutas;permanente;2022;15197,0;175174,0;72;0,66;0,72;11527,0
Laranja;Frutas;permanente;2023;15062,0;229105,0;72;0,59;0,8;15211,0
Laranja;Frutas;permanente;2024;15093,0;426151,0;72;0,53;1,19;28235,0
Laranja;Frutas;permanente;2025;18009,0;556483,0;70;0,53;1,45;30900,0
Limão;Frutas;permanente;2016;2652,0;71350,0;47;0,17;0,72;26904,0
Limão;Frutas;permanente;2017;3829,0;72641,0;41;0,22;0,68;18971,0
Limão;Frutas;permanente;2018;3577,0;83705,0;43;0,21;0,83;23401,0
Limão;Frutas;permanente;2019;5341,0;106169,0;50;0,29;1,0;19878,0
Limão;Frutas;permanente;2020;5670,0;71825,0;51;0,28;0,47;12668,0
Limão;Frutas;permanente;2021;3730,0;48396,0;46;0,17;0,23;12975,0
Limão;Frutas;permanente;2022;3896,0;130127,0;50;0,17;0,53;33400,0
Limão;Frutas;permanente;2023;4314,0;135530,0;55;0,17;0,47;31416,0
Limão;Frutas;permanente;2024;4761,0;90619,0;58;0,17;0,25;19034,0
Limão;Frutas;permanente;2025;5076,0;114180,0;60;0,15;0,3;22494,0
Malva (fibra);Fibras e fumo;temporária;2016;701,0;1315,0;14;0,04;0,01;1876,0
Malva (fibra);Fibras e fumo;temporária;2017;770,0;1691,0;9;0,04;0,02;2196,0
Malva (fibra);Fibras e fumo;temporária;2018;781,0;1717,0;13;0,05;0,02;2198,0
Malva (fibra);Fibras e fumo;temporária;2019;730,0;1638,0;11;0,04;0,02;2244,0
Malva (fibra);Fibras e fumo;temporária;2020;741,0;1940,0;11;0,04;0,01;2618,0
Malva (fibra);Fibras e fumo;temporária;2021;861,0;1889,0;11;0,04;0,01;2194,0
Malva (fibra);Fibras e fumo;temporária;2022;754,0;2731,0;11;0,03;0,01;3622,0
Malva (fibra);Fibras e fumo;temporária;2023;713,0;3137,0;11;0,03;0,01;4400,0
Malva (fibra);Fibras e fumo;temporária;2024;738,0;3668,0;11;0,03;0,01;4970,0
Malva (fibra);Fibras e fumo;temporária;2025;40,0;22,0;1;0,0;0,0;550,0
Mamão;Frutas;permanente;2016;1602,0;26038,0;49;0,1;0,26;16253,0
Mamão;Frutas;permanente;2017;748,0;17492,0;37;0,04;0,16;23385,0
Mamão;Frutas;permanente;2018;1151,0;29908,0;41;0,07;0,3;25984,0
Mamão;Frutas;permanente;2019;1065,0;24428,0;42;0,06;0,23;22937,0
Mamão;Frutas;permanente;2020;1085,0;35391,0;43;0,05;0,23;32618,0
Mamão;Frutas;permanente;2021;1106,0;35569,0;44;0,05;0,17;32160,0
Mamão;Frutas;permanente;2022;1032,0;41428,0;44;0,04;0,17;40143,0
Mamão;Frutas;permanente;2023;1055,0;47481,0;43;0,04;0,17;45006,0
Mamão;Frutas;permanente;2024;1089,0;43399,0;47;0,04;0,12;39852,0
Mamão;Frutas;permanente;2025;962,0;43023,0;44;0,03;0,11;44722,0
Mandioca;Raízes e tubérculos;temporária;2016;291872,0;1933302,0;136;18,61;19,59;6624,0
Mandioca;Raízes e tubérculos;temporária;2017;294337,0;1845764,0;139;17,02;17,25;6271,0
Mandioca;Raízes e tubérculos;temporária;2018;265578,0;1647496,0;138;15,59;16,35;6203,0
Mandioca;Raízes e tubérculos;temporária;2019;272905,0;1518530,0;138;14,99;14,33;5564,0
Mandioca;Raízes e tubérculos;temporária;2020;275730,0;2178353,0;138;13,68;14,26;7900,0
Mandioca;Raízes e tubérculos;temporária;2021;285911,0;2717385,0;138;13,24;13,16;9504,0
Mandioca;Raízes e tubérculos;temporária;2022;278356,0;3174831,0;138;12,03;13,03;11406,0
Mandioca;Raízes e tubérculos;temporária;2023;254370,0;4389578,0;137;9,98;15,35;17257,0
Mandioca;Raízes e tubérculos;temporária;2024;268896,0;4640913,0;137;9,5;12,91;17259,0
Mandioca;Raízes e tubérculos;temporária;2025;266905,0;4316169,0;139;7,91;11,25;16171,0
Manga;Frutas;permanente;2016;38,0;451,0;5;0,0;0,0;11868,0
Manga;Frutas;permanente;2017;38,0;398,0;5;0,0;0,0;10474,0
Manga;Frutas;permanente;2018;37,0;450,0;4;0,0;0,0;12162,0
Manga;Frutas;permanente;2019;20,0;244,0;3;0,0;0,0;12200,0
Manga;Frutas;permanente;2020;8,0;106,0;1;0,0;0,0;13250,0
Manga;Frutas;permanente;2021;8,0;108,0;1;0,0;0,0;13500,0
Manga;Frutas;permanente;2022;14,0;298,0;1;0,0;0,0;21286,0
Manga;Frutas;permanente;2023;14,0;302,0;1;0,0;0,0;21571,0
Manga;Frutas;permanente;2024;14,0;60,0;1;0,0;0,0;4286,0
Manga;Frutas;permanente;2025;14,0;60,0;1;0,0;0,0;4286,0
Maracujá;Frutas;permanente;2016;1970,0;37357,0;71;0,13;0,38;18963,0
Maracujá;Frutas;permanente;2017;1127,0;22797,0;55;0,07;0,21;20228,0
Maracujá;Frutas;permanente;2018;1462,0;21151,0;57;0,09;0,21;14467,0
Maracujá;Frutas;permanente;2019;1673,0;28929,0;64;0,09;0,27;17292,0
Maracujá;Frutas;permanente;2020;1629,0;35757,0;64;0,08;0,23;21950,0
Maracujá;Frutas;permanente;2021;1583,0;45942,0;66;0,07;0,22;29022,0
Maracujá;Frutas;permanente;2022;1560,0;56162,0;68;0,07;0,23;36001,0
Maracujá;Frutas;permanente;2023;1613,0;66801,0;66;0,06;0,23;41414,0
Maracujá;Frutas;permanente;2024;1653,0;63858,0;69;0,06;0,18;38632,0
Maracujá;Frutas;permanente;2025;2576,0;88179,0;69;0,08;0,23;34231,0
Melancia;Frutas;temporária;2016;5686,0;109767,0;84;0,36;1,11;19305,0
Melancia;Frutas;temporária;2017;4332,0;88863,0;63;0,25;0,83;20513,0
