municipio;ano;area_total_ha;valor_total_mil_reais;total_status;n_produtos_cultivados;hhi_area;produto_lider_valor;valor_produto_lider;area_ha_Cana e forragens;area_ha_Fibras e fumo;area_ha_Frutas;area_ha_Grãos e oleaginosas;area_ha_Hortaliças;area_ha_Perenes comerciais;area_ha_Raízes e tubérculos;uf;ano_preliminar;pct_soja_milho_area;valor_por_ha_reais
Acará;2021;41569,0;532008,0;informado;13,0;0,324;Mandioca;319272,0;0,0;0,0;7099,0;150,0;0,0;16020,0;18300,0;PA;False;0,1;12798,0
Afuá;2021;163,0;1197,0;informado;2,0;0,6;Banana (cacho);610,0;0,0;0,0;45,0;0,0;0,0;0,0;118,0;PA;False;0,0;7344,0
Água Azul do Norte;2021;5678,0;31397,0;informado;10,0;0,641;Milho (em grão);18785,0;0,0;0,0;272,0;5150,0;0,0;100,0;156,0;PA;False;89,8;5530,0
Alenquer;2021;14265,0;118730,0;informado;16,0;0,347;Mandioca;77000,0;20,0;0,0;2410,0;3715,0;3,0;417,0;7700,0;PA;False;21,0;8323,0
Almeirim;2021;787,0;11731,0;informado;16,0;0,119;Abacaxi;3024,0;8,0;0,0;324,0;145,0;0,0;130,0;180,0;PA;False;12,1;14906,0
Altamira;2021;35370,0;337422,0;informado;23,0;0,273;Soja (em grão);126000,0;20,0;0,0;1568,0;28053,0;5,0;4774,0;950,0;PA;False;69,3;9540,0
Anajás;2021;4415,0;144200,0;informado;4,0;0,788;Açaí;138109,0;0,0;0,0;4055,0;0,0;0,0;0,0;360,0;PA;False;0,0;32661,0
Ananindeua;2021;38,0;368,0;informado;2,0;0,589;Açaí;249,0;0,0;0,0;38,0;0,0;0,0;0,0;0,0;PA;False;0,0;9684,0
Anapu;2021;12978,0;202319,0;informado;18,0;0,617;Cacau (em amêndoa);165066,0;0,0;0,0;1264,0;1130,0;3,0;10201,0;380,0;PA;False;6,2;15589,0
Augusto Corrêa;2021;2869,0;20239,0;informado;15,0;0,408;Mandioca;10662,0;0,0;8,0;254,0;795,0;0,0;100,0;1712,0;PA;False;5,9;7054,0
Aurora do Pará;2021;6004,0;86568,0;informado;15,0;0,213;Açaí;35688,0;0,0;0,0;1269,0;1035,0;0,0;2400,0;1300,0;PA;False;14,2;14418,0
Aveiro;2021;2398,0;15586,0;informado;19,0;0,235;Mandioca;6060,0;8,0;0,0;437,0;570,0;0,0;383,0;1000,0;PA;False;16,7;6500,0
Bagre;2021;7638,0;132621,0;informado;5,0;0,562;Açaí;118949,0;0,0;0,0;5238,0;0,0;0,0;0,0;2400,0;PA;False;0,0;17363,0
Baião;2021;12725,0;121953,0;informado;9,0;0,632;Mandioca;70606,0;0,0;0,0;725,0;250,0;0,0;1750,0;10000,0;PA;False;1,6;9584,0
Bannach;2021;50,0;347,0;informado;3,0;0,475;Mandioca;269,0;0,0;0,0;0,0;10,0;0,0;8,0;32,0;PA;False;0,0;6940,0
Barcarena;2021;14114,0;366324,0;informado;16,0;0,53;Açaí;315000,0;5,0;0,0;10477,0;362,0;0,0;1720,0;1550,0;PA;False;2,1;25955,0
Belém;2021;190,0;2304,0;informado;1,0;1,0;Açaí;2304,0;0,0;0,0;190,0;0,0;0,0;0,0;0,0;PA;False;0,0;12126,0
Belterra;2021;45519,0;225979,0;informado;17,0;0,441;Soja (em grão);143520,0;0,0;0,0;271,0;44080,0;2,0;66,0;1100,0;PA;False;93,4;4964,0
Benevides;2021;150,0;1242,0;informado;1,0;1,0;Açaí;1242,0;0,0;0,0;150,0;0,0;0,0;0,0;0,0;PA;False;0,0;8280,0
Bom Jesus do Tocantins;2021;820,0;4806,0;informado;13,0;0,292;Mandioca;1141,0;0,0;0,0;78,0;358,0;0,0;0,0;384,0;PA;False;23,8;5861,0
Bonito;2021;9740,0;88413,0;informado;8,0;0,82;Dendê (cacho de coco);78204,0;0,0;0,0;220,0;70,0;0,0;8850,0;600,0;PA;False;0,7;9077,0
Bragança;2021;6414,0;24566,0;informado;12,0;0,625;Mandioca;17554,0;0,0;0,0;259,0;1070,0;0,0;70,0;5015,0;PA;False;9,4;3830,0
Brasil Novo;2021;8747,0;114748,0;informado;16,0;0,769;Cacau (em amêndoa);101220,0;2,0;0,0;559,0;328,0;0,0;7668,0;190,0;PA;False;3,4;13119,0
Brejo Grande do Araguaia;2021;1505,0;13334,0;informado;8,0;0,346;Banana (cacho);7066,0;0,0;0,0;220,0;1225,0;0,0;0,0;60,0;PA;False;79,7;8860,0
Breu Branco;2021;1159,0;22937,0;informado;10,0;0,288;Pimenta-do-reino;14400,0;0,0;0,0;237,0;0,0;0,0;502,0;420,0;PA;False;0,0;19790,0
Breves;2021;2783,0;53389,0;informado;5,0;0,703;Açaí;49415,0;0,0;0,0;2399,0;0,0;0,0;0,0;384,0;PA;False;0,0;19184,0
Bujaru;2021;8677,0;242854,0;informado;11,0;0,53;Açaí;204882,0;0,0;0,0;6647,0;290,0;0,0;740,0;1000,0;PA;False;1,4;27988,0
Cachoeira do Piriá;2021;3527,0;29845,0;informado;14,0;0,215;Açaí;11570,0;0,0;180,0;962,0;1030,0;0,0;135,0;1220,0;PA;False;18,4;8462,0
Cachoeira do Arari;2021;6550,0;44360,0;informado;4,0;0,741;Arroz (em casca);33750,0;0,0;0,0;750,0;5600,0;0,0;0,0;200,0;PA;False;0,0;6773,0
Cametá;2021;44830,0;744326,0;informado;14,0;0,493;Açaí;626880,0;0,0;0,0;30124,0;694,0;0,0;7012,0;7000,0;PA;False;0,6;16603,0
Canaã dos Carajás;2021;7417,0;54768,0;informado;9,0;0,705;Milho (em grão);27653,0;0,0;0,0;823,0;6314,0;0,0;0,0;280,0;PA;False;83,3;7384,0
Capanema;2021;7504,0;75994,0;informado;11,0;0,451;Mandioca;57602,0;0,0;0,0;421,0;2403,0;0,0;80,0;4600,0;PA;False;5,3;10127,0
Capitão Poço;2021;19805,0;173589,0;informado;12,0;0,323;Laranja;70400,0;0,0;100,0;12455,0;3050,0;0,0;1100,0;3100,0;PA;False;7,6;8765,0
Castanhal;2021;7925,0;110549,0;informado;13,0;0,309;Açaí;39654,0;0,0;0,0;1420,0;800,0;0,0;1605,0;4100,0;PA;False;5,0;13949,0
Chaves;2021;105,0;393,0;informado;1,0;1,0;Mandioca;393,0;0,0;0,0;0,0;0,0;0,0;0,0;105,0;PA;False;0,0;3743,0
Colares;2021;415,0;3240,0;informado;7,0;0,84;Mandioca;3040,0;0,0;0,0;20,0;15,0;0,0;0,0;380,0;PA;False;2,4;7807,0
Conceição do Araguaia;2021;9860,0;96984,0;informado;9,0;0,544;Abacaxi;51000,0;0,0;0,0;1365,0;8095,0;0,0;0,0;400,0;PA;False;80,2;9836,0
Concórdia do Pará;2021;24534,0;161965,0;informado;14,0;0,582;Dendê (cacho de coco);66135,0;0,0;0,0;2395,0;119,0;0,0;19420,0;2600,0;PA;False;0,2;6602,0
Cumaru do Norte;2021;24283,0;94807,0;informado;13,0;0,436;Soja (em grão);40838,0;0,0;0,0;353,0;23420,0;0,0;60,0;450,0;PA;False;93,2;3904,0
Curionópolis;2021;3378,0;26335,0;informado;6,0;0,648;Milho (em grão);11790,0;0,0;0,0;280,0;2678,0;0,0;0,0;420,0;PA;False;79,3;7796,0
Curralinho;2021;2231,0;46275,0;informado;5,0;0,634;Açaí;43338,0;6,0;0,0;1712,0;0,0;0,0;0,0;513,0;PA;False;0,0;20742,0
Curuá;2021;717,0;10779,0;informado;10,0;0,399;Açaí;7740,0;0,0;0,0;555,0;79,0;0,0;3,0;80,0;PA;False;7,8;15033,0
Curuçá;2021;1435,0;18850,0;informado;13,0;0,342;Mandioca;7139,0;0,0;0,0;340,0;40,0;0,0;255,0;800,0;PA;False;1,4;13136,0
Dom Eliseu;2021;112937,0;960214,0;informado;17,0;0,812;Soja (em grão);910566,0;0,0;0,0;404,0;112253,0;6,0;64,0;210,0;PA;False;94,5;8502,0
Eldorado do Carajás;2021;2650,0;24341,0;informado;13,0;0,427;Mandioca;8730,0;0,0;0,0;340,0;1740,0;0,0;120,0;450,0;PA;False;62,2;9185,0
Faro;2021;254,0;1340,0;informado;10,0;0,627;Mandioca;900,0;5,0;0,0;41,0;8,0;0,0;0,0;200,0;PA;False;2,4;5276,0
Floresta do Araguaia;2021;20294,0;610738,0;informado;9,0;0,409;Abacaxi;544811,0;0,0;0,0;10245,0;8969,0;0,0;0,0;1080,0;PA;False;43,7;30095,0
Garrafão do Norte;2021;7175,0;60103,0;informado;11,0;0,202;Pimenta-do-reino;25216,0;0,0;20,0;845,0;1860,0;0,0;2350,0;2100,0;PA;False;17,4;8377,0
Goianésia do Pará;2021;523,0;7294,0;informado;10,0;0,213;Açaí;2009,0;0,0;0,0;213,0;0,0;0,0;160,0;150,0;PA;False;0,0;13946,0
Gurupá;2021;1077,0;18113,0;informado;13,0;0,233;Açaí;8512,0;4,0;0,0;480,0;168,0;0,0;105,0;320,0;PA;False;2,8;16818,0
Igarapé-Açu;2021;10110,0;128799,0;informado;17,0;0,407;Pimenta-do-reino;42192,0;15,0;0,0;1305,0;210,0;0,0;7480,0;1100,0;PA;False;1,3;12740,0
Igarapé-Miri;2021;54814,0;1649571,0;informado;14,0;0,901;Açaí;1618739,0;10,0;0,0;52200,0;72,0;0,0;502,0;2030,0;PA;False;0,1;30094,0
Inhangapi;2021;4072,0;64025,0;informado;15,0;0,34;Açaí;42996,0;0,0;0,0;2182,0;25,0;0,0;365,0;1500,0;PA;False;0,2;15723,0
Ipixuna do Pará;2021;14337,0;95944,0;informado;16,0;0,293;Soja (em grão);60315,0;0,0;0,0;317,0;11235,0;0,0;475,0;2310,0;PA;False;67,0;6692,0
Irituia;2021;5564,0;49455,0;informado;12,0;0,278;Dendê (cacho de coco);17555,0;0,0;60,0;867,0;800,0;0,0;2637,0;1200,0;PA;False;9,0;8888,0
Itaituba;2021;4537,0;54019,0;informado;20,0;0,238;Banana (cacho);35280,0;10,0;0,0;2115,0;895,0;5,0;502,0;1010,0;PA;False;9,9;11906,0
Itupiranga;2021;8295,0;102907,0;informado;11,0;0,381;Mandioca;69222,0;0,0;0,0;890,0;3725,0;0,0;110,0;3570,0;PA;False;43,6;12406,0
Jacareacanga;2021;3168,0;24283,0;informado;12,0;0,442;Mandioca;13500,0;10,0;0,0;324,0;822,0;0,0;12,0;2000,0;PA;False;2,7;7665,0
Jacundá;2021;52,0;1094,0;informado;2,0;0,589;Mandioca;614,0;0,0;0,0;15,0;0,0;0,0;0,0;37,0;PA;False;0,0;21038,0
Juruti;2021;18271,0;110711,0;informado;14,0;0,971;Mandioca;108000,0;7,0;95,0;136,0;33,0;0,0;0,0;18000,0;PA;False;0,1;6059,0
Limoeiro do Ajuru;2021;7317,0;186884,0;informado;10,0;0,83;Açaí;182383,0;0,0;0,0;6689,0;90,0;0,0;83,0;455,0;PA;False;0,2;25541,0
Mãe do Rio;2021;2329,0;15514,0;informado;12,0;0,207;Mandioca;4156,0;0,0;0,0;229,0;900,0;0,0;600,0;600,0;PA;False;25,8;6661,0
Magalhães Barata;2021;1160,0;7061,0;informado;9,0;0,747;Mandioca;5344,0;0,0;0,0;80,0;70,0;0,0;10,0;1000,0;PA;False;2,6;6087,0
Marabá;2021;14439,0;131742,0;informado;14,0;0,4;Mandioca;62199,0;0,0;0,0;1049,0;8190,0;0,0;0,0;5200,0;PA;False;55,3;9124,0
Maracanã;2021;2439,0;25101,0;informado;17,0;0,214;Pimenta-do-reino;6754,0;0,0;0,0;425,0;490,0;0,0;524,0;1000,0;PA;False;10,3;10292,0
Marapanim;2021;994,0;10538,0;informado;14,0;0,359;Mandioca;3624,0;0,0;0,0;219,0;100,0;0,0;95,0;580,0;PA;False;4,0;10602,0
Marituba;2021;;;indisponivel;;;;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;PA;False;;
Medicilândia;2021;56982,0;1018889,0;informado;18,0;0,635;Cacau (em amêndoa);811493,0;0,0;0,0;10701,0;1810,0;15,0;44186,0;270,0;PA;False;3,0;17881,0
Melgaço;2021;3442,0;22629,0;informado;5,0;0,751;Açaí;19481,0;0,0;0,0;2986,0;0,0;0,0;11,0;445,0;PA;False;0,0;6574,0
Mocajuba;2021;21167,0;101578,0;informado;9,0;0,29;Mandioca;43313,0;0,0;0,0;798,0;11500,0;0,0;1369,0;7500,0;PA;False;18,9;4799,0
Moju;2021;42660,0;519480,0;informado;17,0;0,312;Dendê (cacho de coco);142086,0;0,0;0,0;13980,0;930,0;0,0;21350,0;6400,0;PA;False;1,9;12177,0
Mojuí dos Campos;2021;88359,0;439376,0;informado;19,0;0,466;Soja (em grão);272320,0;4,0;0,0;400,0;86625,0;0,0;130,0;1200,0;PA;False;96,2;4973,0
Monte Alegre;2021;20556,0;105415,0;informado;21,0;0,302;Mandioca;42300,0;15,0;0,0;3366,0;10788,0;40,0;347,0;6000,0;PA;False;43,8;5128,0
Muaná;2021;1840,0;21063,0;informado;3,0;0,906;Açaí;20003,0;0,0;0,0;1790,0;0,0;0,0;0,0;50,0;PA;False;0,0;11447,0
Nova Esperança do Piriá;2021;9893,0;92875,0;informado;10,0;0,384;Mandioca;63000,0;0,0;150,0;570,0;5223,0;0,0;450,0;3500,0;PA;False;50,5;9388,0
Nova Ipixuna;2021;1076,0;9906,0;informado;9,0;0,386;Mandioca;4149,0;0,0;0,0;147,0;642,0;0,0;7,0;280,0;PA;False;55,8;9206,0
Nova Timboteua;2021;1997,0;17779,0;informado;8,0;0,297;Mandioca;7500,0;0,0;0,0;217,0;360,0;0,0;420,0;1000,0;PA;False;8,0;8903,0
Novo Progresso;2021;27244,0;93483,0;informado;19,0;0,567;Soja (em grão);62700,0;5,0;0,0;219,0;26009,0;0,0;11,0;1000,0;PA;False;88,1;3431,0
Novo Repartimento;2021;6890,0;56130,0;informado;8,0;0,456;Cacau (em amêndoa);27840,0;0,0;0,0;2038,0;180,0;0,0;4172,0;500,0;PA;False;0,0;8147,0
Óbidos;2021;20542,0;125147,0;informado;15,0;0,948;Mandioca;120000,0;12,0;0,0;387,0;139,0;0,0;4,0;20000,0;PA;False;0,5;6092,0
Oeiras do Pará;2021;7926,0;161230,0;informado;8,0;0,416;Açaí;127936,0;0,0;0,0;3527,0;259,0;0,0;340,0;3800,0;PA;False;1,1;20342,0
Oriximiná;2021;15512,0;111897,0;informado;13,0;0,935;Mandioca;104400,0;4,0;0,0;234,0;274,0;0,0;0,0;15000,0;PA;False;0,9;7214,0
Ourém;2021;1735,0;11020,0;informado;8,0;0,285;Laranja;4212,0;0,0;10,0;795,0;300,0;0,0;80,0;550,0;PA;False;11,5;6352,0
Ourilândia do Norte;2021;1685,0;21956,0;informado;10,0;0,357;Cacau (em amêndoa);10153,0;0,0;0,0;227,0;358,0;0,0;930,0;170,0;PA;False;18,1;13030,0
Pacajá;2021;12024,0;129878,0;informado;18,0;0,289;Cacau (em amêndoa);48735,0;10,0;0,0;1164,0;2513,0;0,0;5927,0;2410,0;PA;False;13,4;10802,0
Palestina do Pará;2021;800,0;7225,0;informado;4,0;0,458;Banana (cacho);3600,0;0,0;0,0;120,0;550,0;0,0;0,0;130,0;PA;False;63,7;9031,0
Paragominas;2021;206094,0;1709339,0;informado;17,0;0,765;Soja (em grão);1611209,0;0,0;0,0;477,0;203770,0;0,0;598,0;1249,0;PA;False;93,3;8294,0
Parauapebas;2021;9765,0;151694,0;informado;16,0;0,2;Mandioca;73880,0;0,0;0,0;2400,0;4340,0;75,0;120,0;2830,0;PA;False;34,8;15534,0
Pau D'Arco;2021;879,0;11306,0;informado;2,0;0,5;Mandioca;9889,0;0,0;0,0;0,0;449,0;0,0;0,0;430,0;PA;False;51,1;12862,0
Peixe-Boi;2021;1536,0;11136,0;informado;10,0;0,299;Mandioca;4722,0;0,0;8,0;318,0;450,0;0,0;60,0;700,0;PA;False;22,8;7250,0
Piçarra;2021;4770,0;29311,0;informado;6,0;0,597;Milho (em grão);15600,0;0,0;0,0;85,0;3535,0;0,0;0,0;1150,0;PA;False;73,4;6145,0
Placas;2021;17397,0;107563,0;informado;15,0;0,521;Cacau (em amêndoa);70000,0;20,0;0,0;1594,0;2310,0;0,0;12873,0;600,0;PA;False;11,7;6183,0
Ponta de Pedras;2021;3365,0;45064,0;informado;3,0;0,962;Açaí;44664,0;0,0;0,0;3335,0;0,0;0,0;0,0;30,0;PA;False;0,0;13392,0
Portel;2021;21318,0;212775,0;informado;4,0;0,783;Mandioca;141209,0;0,0;0,0;2638,0;0,0;0,0;0,0;18680,0;PA;False;0,0;9981,0
Porto de Moz;2021;1216,0;18414,0;informado;16,0;0,188;Mandioca;9000,0;15,0;0,0;471,0;300,0;0,0;30,0;400,0;PA;False;11,5;15143,0
Prainha;2021;4868,0;55398,0;informado;19,0;0,299;Mandioca;35100,0;6,0;0,0;654,0;2290,0;8,0;110,0;1800,0;PA;False;39,0;11380,0
Primavera;2021;591,0;2126,0;informado;6,0;0,278;Mandioca;1020,0;0,0;0,0;70,0;333,0;0,0;18,0;170,0;PA;False;38,9;3597,0
Quatipuru;2021;635,0;4684,0;informado;6,0;0,527;Açaí;2240,0;0,0;0,0;115,0;70,0;0,0;0,0;450,0;PA;False;6,3;7376,0
Redenção;2021;15040,0;99537,0;informado;9,0;0,441;Soja (em grão);43483,0;0,0;0,0;182,0;12108,0;0,0;0,0;2750,0;PA;False;79,4;6618,0
Rio Maria;2021;1402,0;18922,0;informado;8,0;0,273;Abacaxi;13273,0;0,0;0,0;374,0;920,0;0,0;0,0;108,0;PA;False;63,5;13496,0
Rondon do Pará;2021;50447,0;430242,0;informado;10,0;0,871;Soja (em grão);415431,0;0,0;0,0;55,0;49963,0;6,0;0,0;423,0;PA;False;98,6;8529,0
Rurópolis;2021;9048,0;43007,0;informado;17,0;0,165;Banana (cacho);12782,0;15,0;0,0;2657,0;3960,0;0,0;1516,0;900,0;PA;False;32,1;4753,0
Salinópolis;2021;827,0;3966,0;informado;6,0;0,295;Coco-da-baía;1870,0;0,0;0,0;302,0;225,0;0,0;0,0;300,0;PA;False;14,5;4796,0
Salvaterra;2021;1740,0;24830,0;informado;5,0;0,501;Abacaxi;19257,0;0,0;0,0;600,0;1100,0;0,0;0,0;40,0;PA;False;0,0;14270,0
Santa Bárbara do Pará;2021;435,0;5281,0;informado;4,0;0,391;Açaí;2848,0;0,0;0,0;200,0;55,0;0,0;0,0;180,0;PA;False;6,9;12140,0
Santa Izabel do Pará;2021;6348,0;132681,0;informado;10,0;0,632;Açaí;114884,0;0,0;0,0;5160,0;0,0;0,0;788,0;400,0;PA;False;0,0;20901,0
Santa Luzia do Pará;2021;2190,0;19166,0;informado;9,0;0,222;Banana (cacho);7590,0;0,0;80,0;415,0;670,0;0,0;175,0;850,0;PA;False;18,3;8752,0
Santa Maria das Barreiras;2021;96677,0;591787,0;informado;10,0;0,479;Soja (em grão);425010,0;0,0;0,0;70,0;95807,0;0,0;0,0;800,0;PA;False;94,6;6121,0
Santa Maria do Pará;2021;6740,0;52944,0;informado;8,0;0,574;Mandioca;40188,0;0,0;0,0;135,0;730,0;0,0;875,0;5000,0;PA;False;10,4;7855,0
Santana do Araguaia;2021;171175,0;832501,0;informado;10,0;0,496;Soja (em grão);627619,0;0,0;0,0;95,0;169500,0;0,0;780,0;800,0;PA;False;94,9;4863,0
Santarém;2021;64391,0;296614,0;informado;21,0;0,399;Soja (em grão);163008,0;15,0;0,0;465,0;59145,0;12,0;354,0;4400,0;PA;False;88,5;4606,0
Santarém Novo;2021;1402,0;4948,0;informado;6,0;0,317;Mandioca;2640,0;0,0;0,0;30,0;800,0;0,0;22,0;550,0;PA;False;28,5;3529,0
Santo Antônio do Tauá;2021;5110,0;52403,0;informado;11,0;0,354;Dendê (cacho de coco);14210,0;0,0;0,0;1560,0;100,0;0,0;3150,0;300,0;PA;False;1,2;10255,0
São Caetano de Odivelas;2021;988,0;12965,0;informado;10,0;0,519;Mandioca;9240,0;0,0;0,0;177,0;85,0;0,0;26,0;700,0;PA;False;2,0;13122,0
São Domingos do Araguaia;2021;3637,0;33998,0;informado;8,0;0,356;Mandioca;15960,0;0,0;0,0;615,0;1092,0;0,0;30,0;1900,0;PA;False;25,5;9348,0
São Domingos do Capim;2021;14810,0;131697,0;informado;14,0;0,414;Mandioca;60386,0;0,0;0,0;2425,0;700,0;0,0;2685,0;9000,0;PA;False;2,4;8892,0
São Félix do Xingu;2021;18553,0;201861,0;informado;10,0;0,274;Milho (em grão);53707,0;0,0;0,0;1821,0;11353,0;0,0;3962,0;1417,0;PA;False;60,0;10880,0
São Francisco do Pará;2021;5925,0;53812,0;informado;13,0;0,471;Mandioca;26838,0;50,0;0,0;465,0;600,0;0,0;810,0;4000,0;PA;False;5,1;9082,0
São Geraldo do Araguaia;2021;8450,0;72078,0;informado;9,0;0,514;Milho (em grão);31152,0;0,0;0,0;817,0;5973,0;0,0;1060,0;600,0;PA;False;69,8;8530,0
São João da Ponta;2021;499,0;7259,0;informado;14,0;0,165;Açaí;2309,0;0,0;0,0;181,0;50,0;0,0;138,0;130,0;PA;False;4,0;14547,0
São João de Pirabas;2021;421,0;2225,0;informado;7,0;0,256;Mandioca;918,0;0,0;0,0;115,0;126,0;0,0;0,0;180,0;PA;False;19,0;5285,0
São João do Araguaia;2021;1855,0;21767,0;informado;11,0;0,2;Banana (cacho);7500,0;0,0;0,0;472,0;833,0;0,0;0,0;550,0;PA;False;42,3;11734,0
São Miguel do Guamá;2021;6598,0;53108,0;informado;12,0;0,404;Mandioca;26889,0;0,0;0,0;540,0;1500,0;0,0;558,0;4000,0;PA;False;15,2;8049,0
São Sebastião da Boa Vista;2021;5070,0;47880,0;informado;2,0;0,973;Açaí;47408,0;0,0;0,0;5000,0;0,0;0,0;0,0;70,0;PA;False;0,0;9444,0
Sapucaia;2021;632,0;3452,0;informado;4,0;0,903;Milho (em grão);2834,0;0,0;0,0;10,0;600,0;0,0;2,0;20,0;PA;False;94,9;5462,0
Senador José Porfírio;2021;6690,0;98830,0;informado;12,0;0,526;Cacau (em amêndoa);73636,0;15,0;0,0;815,0;745,0;0,0;4765,0;350,0;PA;False;9,0;14773,0
Soure;2021;125,0;330,0;informado;1,0;1,0;Coco-da-baía;330,0;0,0;0,0;125,0;0,0;0,0;0,0;0,0;PA;False;0,0;2640,0
Tailândia;2021;100035,0;501419,0;informado;15,0;0,435;Dendê (cacho de coco);320309,0;0,0;0,0;615,0;37100,0;0,0;61320,0;1000,0;PA;False;35,5;5012,0
Terra Alta;2021;569,0;6773,0;informado;12,0;0,408;Dendê (cacho de coco);2698,0;0,0;0,0;95,0;10,0;0,0;394,0;70,0;PA;False;0,9;11903,0
Terra Santa;2021;89,0;588,0;informado;7,0;0,477;Mandioca;360,0;5,0;0,0;16,0;8,0;0,0;0,0;60,0;PA;False;9,0;6607,0
Tomé-Açu;2021;49014,0;347554,0;informado;14,0;0,548;Dendê (cacho de coco);187845,0;0,0;0,0;4014,0;1050,0;0,0;41950,0;2000,0;PA;False;1,5;7091,0
Tracuateua;2021;5426,0;32260,0;informado;14,0;0,45;Mandioca;20312,0;0,0;10,0;251,0;2100,0;0,0;30,0;3035,0;PA;False;1,7;5945,0
Trairão;2021;15033,0;74090,0;informado;18,0;0,145;Banana (cacho);31500,0;10,0;0,0;2002,0;7950,0;2,0;1661,0;3408,0;PA;False;29,3;4928,0
Tucumã;2021;7755,0;103518,0;informado;9,0;0,57;Cacau (em amêndoa);85376,0;0,0;0,0;250,0;1664,0;0,0;5711,0;130,0;PA;False;20,9;13349,0
Tucuruí;2021;58,0;740,0;informado;4,0;0,422;Mandioca;411,0;0,0;0,0;5,0;0,0;0,0;18,0;35,0;PA;False;0,0;12759,0
Ulianópolis;2021;79685,0;640959,0;informado;21,0;0,463;Soja (em grão);461547,0;14460,0;0,0;216,0;64426,0;0,0;131,0;452,0;PA;False;76,7;8044,0
Uruará;2021;22626,0;268942,0;informado;17,0;0,596;Cacau (em amêndoa);213750,0;0,0;0,0;1436,0;2910,0;50,0;17405,0;825,0;PA;False;9,0;11886,0
Vigia;2021;1045,0;11962,0;informado;8,0;0,303;Mandioca;6600,0;0,0;0,0;260,0;0,0;0,0;285,0;500,0;PA;False;0,0;11447,0
Viseu;2021;8790,0;65253,0;informado;14,0;0,314;Mandioca;25440,0;0,0;150,0;1270,0;2700,0;0,0;140,0;4530,0;PA;False;9,1;7424,0
Vitória do Xingu;2021;6432,0;71228,0;informado;15,0;0,677;Cacau (em amêndoa);54833,0;4,0;0,0;519,0;400,0;0,0;5279,0;230,0;PA;False;4,7;11074,0
Xinguara;2021;1408,0;11189,0;informado;10,0;0,372;Milho (em grão);4373,0;3,0;0,0;95,0;990,0;0,0;70,0;250,0;PA;False;64,3;7947,0
Abaetetuba;2022;25095,0;555122,0;informado;18,0;0,649;Açaí;504000,0;100,0;0,0;20515,0;225,0;0,0;2205,0;2050,0;PA;False;0,4;22121,0
Abel Figueiredo;2022;6224,0;58572,0;informado;12,0;0,813;Soja (em grão);51820,0;11,0;0,0;59,0;5831,0;0,0;13,0;310,0;PA;False;93,3;9411,0
Acará;2022;41569,0;446787,0;informado;13,0;0,324;Mandioca;252625,0;0,0;0,0;7099,0;150,0;0,0;16020,0;18300,0;PA;False;0,1;10748,0
Afuá;2022;140,0;2320,0;informado;2,0;0,592;Banana (cacho);1495,0;0,0;0,0;40,0;0,0;0,0;0,0;100,0;PA;False;0,0;16571,0
Água Azul do Norte;2022;6342,0;30438,0;informado;10,0;0,683;Milho (em grão);18304,0;0,0;0,0;233,0;5853,0;0,0;100,0;156,0;PA;False;91,5;4799,0
Alenquer;2022;14599,0;177780,0;informado;16,0;0,333;Mandioca;106791,0;20,0;0,0;2597,0;3690,0;3,0;589,0;7700,0;PA;False;20,5;12178,0
Almeirim;2022;711,0;10924,0;informado;15,0;0,134;Mandioca;2592,0;8,0;0,0;295,0;125,0;0,0;103,0;180,0;PA;False;10,5;15364,0
Altamira;2022;36284,0;237316,0;informado;22,0;0,267;Cacau (em amêndoa);64273,0;20,0;0,0;1563,0;28053,0;5,0;5693,0;950,0;PA;False;67,5;6541,0
Anajás;2022;5806,0;211345,0;informado;4,0;0,899;Açaí;205995,0;0,0;0,0;5686,0;0,0;0,0;0,0;120,0;PA;False;0,0;36401,0
Ananindeua;2022;38,0;718,0;informado;2,0;0,589;Açaí;514,0;0,0;0,0;38,0;0,0;0,0;0,0;0,0;PA;False;0,0;18895,0
Anapu;2022;13572,0;211170,0;informado;18,0;0,569;Cacau (em amêndoa);162988,0;0,0;0,0;1471,0;1370,0;3,0;10198,0;530,0;PA;False;7,4;15559,0
Augusto Corrêa;2022;2433,0;19970,0;informado;15,0;0,464;Mandioca;11214,0;0,0;30,0;296,0;395,0;0,0;100,0;1612,0;PA;False;2,9;8208,0
Aurora do Pará;2022;7978,0;118777,0;informado;15,0;0,293;Dendê (cacho de coco);41610,0;0,0;0,0;1298,0;1035,0;0,0;4345,0;1300,0;PA;False;10,7;14888,0
Aveiro;2022;1984,0;13735,0;informado;18,0;0,231;Mandioca;5040,0;8,0;0,0;430,0;235,0;0,0;611,0;700,0;PA;False;5,0;6923,0
Bagre;2022;8501,0;249010,0;informado;5,0;0,889;Açaí;246901,0;0,0;0,0;8011,0;0,0;0,0;0,0;490,0;PA;False;0,0;29292,0
Baião;2022;14190,0;205616,0;informado;9,0;0,519;Mandioca;130000,0;0,0;0,0;1240,0;900,0;0,0;2050,0;10000,0;PA;False;5,6;14490,0
Bannach;2022;50,0;399,0;informado;3,0;0,475;Mandioca;289,0;0,0;0,0;0,0;10,0;0,0;8,0;32,0;PA;False;0,0;7980,0
Barcarena;2022;14114,0;379473,0;informado;16,0;0,53;Açaí;336000,0;5,0;0,0;10477,0;362,0;0,0;1720,0;1550,0;PA;False;2,1;26886,0
