produto;grupo;ano;area_ha;valor_nominal;valor_real;n_municipios;valor_por_ha_reais
Cana-de-açúcar;Cana e forragens;2021;14908,0;126759,0;158799,238635;34;10652,0
Cana-de-açúcar;Cana e forragens;2022;17479,0;149970,0;171922,60859999998;34;9836,0
Cana-de-açúcar;Cana e forragens;2023;17476,0;150024,0;164431,25479200002;33;9409,0
Cana-de-açúcar;Cana e forragens;2024;17516,0;152722,0;160383,757296;35;9156,0
Cana-de-açúcar;Cana e forragens;2025;17434,0;177277,0;177277,0;33;10168,0
Castanha de caju;Perenes comerciais;2016;2323,0;3497,0;5447,45175;10;2345,0
Castanha de caju;Perenes comerciais;2017;2335,0;2021,0;3043,3289130000003;10;1303,0
Castanha de caju;Perenes comerciais;2018;1835,0;3719,0;5402,278904;13;2944,0
Castanha de caju;Perenes comerciais;2019;1153,0;1800,0;2520,6156;12;2186,0
Castanha de caju;Perenes comerciais;2020;1110,0;1560,0;2116,55496;12;1907,0
Castanha de caju;Perenes comerciais;2021;1064,0;1811,0;2268,757415;12;2132,0
Castanha de caju;Perenes comerciais;2022;1072,0;2158,0;2473,88804;12;2308,0
Castanha de caju;Perenes comerciais;2023;1081,0;1984,0;2174,529472;12;2012,0
Castanha de caju;Perenes comerciais;2024;850,0;1533,0;1609,9075440000001;10;1894,0
Castanha de caju;Perenes comerciais;2025;1005,0;1982,0;1982,0;10;1972,0
Cebola;Hortaliças;2016;15,0;630,0;981,3824999999999;1;65426,0
Cebola;Hortaliças;2017;20,0;770,0;1159,50681;1;57975,0
Cebola;Hortaliças;2018;20,0;770,0;1118,51432;1;55926,0
Cebola;Hortaliças;2019;20,0;840,0;1176,28728;1;58814,0
Cebola;Hortaliças;2020;21,0;1029,0;1396,112214;1;66482,0
Cebola;Hortaliças;2021;20,0;700,0;876,9354999999999;1;43847,0
Cebola;Hortaliças;2022;20,0;1190,0;1364,1922;1;68210,0
Coco-da-baía;Frutas;2016;19188,0;108895,0;169631,18625;109;8840,0
Coco-da-baía;Frutas;2017;18595,0;123291,0;185658,122223;108;9984,0
Coco-da-baía;Frutas;2018;18581,0;108839,0;158101,27282399999;101;8509,0
Coco-da-baía;Frutas;2019;17311,0;93655,0;131149,03001;100;7576,0
Coco-da-baía;Frutas;2020;19214,0;208247,0;282542,44920199993;98;14705,0
Coco-da-baía;Frutas;2021;17656,0;218756,0;274049,86033999996;99;15522,0
Coco-da-baía;Frutas;2022;17459,0;215700,0;247274,16600000003;99;14163,0
Coco-da-baía;Frutas;2023;16968,0;252510,0;276759,29283;93;16311,0
Coco-da-baía;Frutas;2024;16868,0;254341,0;267100,77928799996;91;15835,0
Coco-da-baía;Frutas;2025;19081,0;264685,0;264685,0;88;13872,0
Cupuaçu;Frutas;2025;8677,0;105855,0;105855,0;91;12199,0
Dendê (cacho de coco);Perenes comerciais;2016;99402,0;382478,0;595805,1045;25;5994,0
Dendê (cacho de coco);Perenes comerciais;2017;101795,0;393914,0;593176,5786420001;26;5827,0
Dendê (cacho de coco);Perenes comerciais;2018;148879,0;548787,0;797176,7767919999;26;5355,0
Dendê (cacho de coco);Perenes comerciais;2019;164410,0;636696,0;891592,150032;28;5423,0
Dendê (cacho de coco);Perenes comerciais;2020;188542,0;804150,0;1091043,3789;30;5787,0
Dendê (cacho de coco);Perenes comerciais;2021;183952,0;1011334,0;1266963,83851;29;6887,0
Dendê (cacho de coco);Perenes comerciais;2022;185963,0;1206494,0;1383100,59172;30;7438,0
Dendê (cacho de coco);Perenes comerciais;2023;186240,0;1785288,0;1956734,562504;30;10507,0
Dendê (cacho de coco);Perenes comerciais;2024;204120,0;2224022,0;2335596,735696;30;11442,0
Dendê (cacho de coco);Perenes comerciais;2025;212596,0;2561830,0;2561830,0;31;12050,0
Feijão (em grão);Grãos e oleaginosas;2016;31361,0;83458,0;130006,6995;115;4145,0
Feijão (em grão);Grãos e oleaginosas;2017;33478,0;71082,0;107039,042946;115;3197,0
Feijão (em grão);Grãos e oleaginosas;2018;27112,0;40751,0;59195,554615999994;111;2183,0
Feijão (em grão);Grãos e oleaginosas;2019;27464,0;48650,0;68126,6383;107;2481,0
Feijão (em grão);Grãos e oleaginosas;2020;26199,0;56921,0;77228,47748599999;108;2948,0
Feijão (em grão);Grãos e oleaginosas;2021;27016,0;72159,0;90398,26963499999;109;3346,0
Feijão (em grão);Grãos e oleaginosas;2022;27360,0;79854,0;91543,02851999999;110;3346,0
Feijão (em grão);Grãos e oleaginosas;2023;26749,0;91846,0;100666,246918;107;3763,0
Feijão (em grão);Grãos e oleaginosas;2024;21374,0;70571,0;74111,405928;100;3467,0
Feijão (em grão);Grãos e oleaginosas;2025;17428,0;58536,0;58536,0;101;3359,0
Fumo (em folha);Fibras e fumo;2016;19,0;91,0;141,75525;3;7461,0
Fumo (em folha);Fibras e fumo;2017;17,0;112,0;168,655536;2;9921,0
Fumo (em folha);Fibras e fumo;2018;25,0;140,0;203,36623999999998;2;8135,0
Fumo (em folha);Fibras e fumo;2019;20,0;144,0;201,649248;1;10082,0
Fumo (em folha);Fibras e fumo;2020;20,0;224,0;303,91558399999997;1;15196,0
Fumo (em folha);Fibras e fumo;2021;10,0;46,0;57,62719;1;5763,0
Fumo (em folha);Fibras e fumo;2022;10,0;104,0;119,22352;1;11922,0
Fumo (em folha);Fibras e fumo;2023;15,0;192,0;210,438336;1;14029,0
Fumo (em folha);Fibras e fumo;2024;30,0;291,0;305,598888;1;10187,0
Fumo (em folha);Fibras e fumo;2025;35,0;480,0;480,0;1;13714,0
Gergelim;Grãos e oleaginosas;2025;147130,0;327643,0;327643,0;15;2227,0
Goiaba;Frutas;2016;287,0;5702,0;8882,2905;9;30949,0
Goiaba;Frutas;2017;309,0;9535,0;14358,308355000001;10;46467,0
Goiaba;Frutas;2018;313,0;5379,0;7813,621463999999;12;24964,0
Goiaba;Frutas;2019;352,0;7009,0;9814,997078;10;27884,0
Goiaba;Frutas;2020;344,0;8452,0;11467,386231999999;9;33335,0
Goiaba;Frutas;2021;344,0;9856,0;12347,251839999999;9;35893,0
Goiaba;Frutas;2022;342,0;11926,0;13671,727879999999;10;39976,0
Goiaba;Frutas;2023;302,0;12127,0;13291,592191;11;44012,0
Goiaba;Frutas;2024;305,0;10247,0;10761,071496;12;35282,0
Goiaba;Frutas;2025;306,0;13052,0;13052,0;11;42654,0
Graviola;Frutas;2025;81,0;3036,0;3036,0;5;37481,0
Guaraná (semente);Perenes comerciais;2016;24,0;225,0;350,49375000000003;6;14604,0
Guaraná (semente);Perenes comerciais;2017;29,0;295,0;444,226635;6;15318,0
Guaraná (semente);Perenes comerciais;2018;64,0;472,0;685,6347519999999;7;10713,0
Guaraná (semente);Perenes comerciais;2019;67,0;491,0;687,567922;7;10262,0
Guaraná (semente);Perenes comerciais;2020;67,0;272,0;369,040352;7;5508,0
Guaraná (semente);Perenes comerciais;2021;57,0;220,0;275,6083;7;4835,0
Guaraná (semente);Perenes comerciais;2022;65,0;308,0;353,08504;7;5432,0
Guaraná (semente);Perenes comerciais;2023;65,0;913,0;1000,6781290000001;7;15395,0
Guaraná (semente);Perenes comerciais;2024;93,0;1306,0;1371,519408;5;14748,0
Guaraná (semente);Perenes comerciais;2025;58,0;1748,0;1748,0;4;30138,0
Juta (fibra);Fibras e fumo;2019;4,0;9,0;12,603078;1;3151,0
Juta (fibra);Fibras e fumo;2020;5,0;9,0;12,210894;1;2442,0
Laranja;Frutas;2016;13482,0;147430,0;229659,08250000002;80;17034,0
Laranja;Frutas;2017;17317,0;181364,0;273107,523492;77;15771,0
Laranja;Frutas;2018;13633,0;116410,0;169099,02855999998;73;12404,0
Laranja;Frutas;2019;14270,0;156511,0;219168,926762;72;15359,0
Laranja;Frutas;2020;16582,0;211819,0;287388,817354;72;17331,0
Laranja;Frutas;2021;14252,0;115620,0;144844,6893;72;10163,0
Laranja;Frutas;2022;15197,0;175174,0;200815,97011999998;72;13214,0
Laranja;Frutas;2023;15062,0;229105,0;251106,640465;72;16672,0
Laranja;Frutas;2024;15093,0;426151,0;447530,143368;72;29652,0
Laranja;Frutas;2025;18009,0;556483,0;556483,0;70;30900,0
Limão;Frutas;2016;2652,0;71350,0;111145,4625;47;41910,0
Limão;Frutas;2017;3829,0;72641,0;109386,66777300001;41;28568,0
Limão;Frutas;2018;3577,0;83705,0;121591,22228;43;33993,0
Limão;Frutas;2019;5341,0;106169,0;148672,909798;50;27836,0
Limão;Frutas;2020;5670,0;71825,0;97449,71794999999;51;17187,0
Limão;Frutas;2021;3730,0;48396,0;60628,81493999999;46;16254,0
Limão;Frutas;2022;3896,0;130127,0;149174,99026;50;38289,0
Limão;Frutas;2023;4314,0;135530,0;148545,35249000002;55;34433,0
Limão;Frutas;2024;4761,0;90619,0;95165,173992;58;19988,0
Limão;Frutas;2025;5076,0;114180,0;114180,0;60;22494,0
Malva (fibra);Fibras e fumo;2016;701,0;1315,0;2048,44125;14;2922,0
Malva (fibra);Fibras e fumo;2017;770,0;1691,0;2546,3974230000003;9;3307,0
Malva (fibra);Fibras e fumo;2018;781,0;1717,0;2494,1416719999997;13;3194,0
Malva (fibra);Fibras e fumo;2019;730,0;1638,0;2293,760196;11;3142,0
Malva (fibra);Fibras e fumo;2020;741,0;1940,0;2632,1260399999996;11;3552,0
Malva (fibra);Fibras e fumo;2021;861,0;1889,0;2366,4730849999996;11;2749,0
Malva (fibra);Fibras e fumo;2022;754,0;2731,0;3130,7637799999998;11;4152,0
Malva (fibra);Fibras e fumo;2023;713,0;3137,0;3438,255521;11;4822,0
Malva (fibra);Fibras e fumo;2024;738,0;3668,0;3852,016224;11;5220,0
Malva (fibra);Fibras e fumo;2025;40,0;22,0;22,0;1;550,0
Mamão;Frutas;2016;1602,0;26038,0;40560,6945;49;25319,0
Mamão;Frutas;2017;748,0;17492,0;26340,380676;37;35214,0
Mamão;Frutas;2018;1151,0;29908,0;43444,839328;41;37745,0
Mamão;Frutas;2019;1065,0;24428,0;34207,554376;42;32120,0
Mamão;Frutas;2020;1085,0;35391,0;48017,305506;43;44256,0
Mamão;Frutas;2021;1106,0;35569,0;44559,598285;44;40289,0
Mamão;Frutas;2022;1032,0;41428,0;47492,23064;44;46020,0
Mamão;Frutas;2023;1055,0;47481,0;52040,742873;43;49328,0
Mamão;Frutas;2024;1089,0;43399,0;45576,241032;47;41851,0
Mamão;Frutas;2025;962,0;43023,0;43023,0;44;44722,0
Mandioca;Raízes e tubérculos;2016;291872,0;1933302,0;3011601,1905;136;10318,0
Mandioca;Raízes e tubérculos;2017;294337,0;1845764,0;2779449,256692;139;9443,0
Mandioca;Raízes e tubérculos;2018;265578,0;1647496,0;2393179,049536;138;9011,0
Mandioca;Raízes e tubérculos;2019;272905,0;1518530,0;2126461,33726;138;7792,0
Mandioca;Raízes e tubérculos;2020;275730,0;2178353,0;2955515,2863979996;138;10719,0
Mandioca;Raízes e tubérculos;2021;285911,0;2717385,0;3404244,8195249997;138;11907,0
Mandioca;Raízes e tubérculos;2022;278356,0;3174831,0;3639562,76178;138;13075,0
Mandioca;Raízes e tubérculos;2023;254370,0;4389578,0;4811122,344074;137;18914,0
Mandioca;Raízes e tubérculos;2024;268896,0;4640913,0;4873738,323384;137;18125,0
Mandioca;Raízes e tubérculos;2025;266905,0;4316169,0;4316169,0;139;16171,0
Manga;Frutas;2016;38,0;451,0;702,54525;5;18488,0
Manga;Frutas;2017;38,0;398,0;599,3294940000001;5;15772,0
Manga;Frutas;2018;37,0;450,0;653,6772;4;17667,0
Manga;Frutas;2019;20,0;244,0;341,683448;3;17084,0
Manga;Frutas;2020;8,0;106,0;143,817196;1;17977,0
Manga;Frutas;2021;8,0;108,0;135,29862;1;16912,0
Manga;Frutas;2022;14,0;298,0;341,62124;1;24402,0
Manga;Frutas;2023;14,0;302,0;331,00196600000004;1;23643,0
Manga;Frutas;2024;14,0;60,0;63,01008;1;4501,0
